"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Acnemia bifida";"Animalia";"Arthropoda";"Insecta";"Diptera";"	Mycetophilidae";"Terrestrial";
"Acromyrmex octospinosus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Adelges piceae";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Adelgidae";"Terrestrial";
"Adelges tsugae";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Adelgidae";"Terrestrial";
"Aedes aegypti";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Aedes albopictus";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Agrilus planipennis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Buprestidae";"Terrestrial";
"Anopheles quadrimaculatus";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Anoplolepis gracilipes";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Anoplophora chinensis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Cerambycidae";"Terrestrial";
"Anoplophora glabripennis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Cerambycidae";"Terrestrial";
"Anthonomus grandis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Apis mellifera scutellata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apiidae";"Terrestrial";
"Aulacaspis yasumatsui";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Diaspididae";"Terrestrial";
"Bactrocera tryoni";"Animalia";"Arthropoda";"Insecta";"Diptera";"Tephritidae";"Terrestrial";
"Bemisia tabaci";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Aleyrodidae";"Terrestrial";
"Brontispa longissima";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Chrysomelidae";"Terrestrial";
"Cactoblastis cactorum";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Pyralidae";"Terrestrial";
"Calliphora vicina";"Animalia";"Arthropoda";"Insecta";"Diptera";"Calliphoridae";"Terrestrial";
"Ceratitis capitata";"Animalia";"Arthropoda";"Insecta";"Diptera";"Tephritidae";"Terrestrial";
"Cinara cupressi";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Aphididae";"Terrestrial";
"Coptotermes formosanus";"Animalia";"Arthropoda";"Insecta";"Isoptera";"Rhinotermitidae";"Terrestrial";
"Cryptococcus fagisuga";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Eriococcidae";"Terrestrial";
"Dendroctonus valens";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Dendrolimus sibiricus";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Lasiocampidae";"Terrestrial";
"Diaphorina citri";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Psyllidae";"Terrestrial";
"Gonipterus scutellatus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Harmonia axyridis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Coccinellidae";"Terrestrial";
"Hemiberlesia pitysophila";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Diaspidae";"Terrestrial";
"Homalodisca vitripennis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Cicdellidae";"Terrestrial";
"Hoplochelus marginalis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Melolonthidae";"Terrestrial";
"Hylastes ater";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Hyphantria cunea";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Arctiidae";"Terrestrial";
"Hypogastura purpurescens";"Animalia";"Arthropoda";"Insecta";"Collembola";"Hypogastura";"Terrestrial";
"Hypogastura viatica";"Animalia";"Arthropoda";"Insecta";"Collembola";"Hypogastura";"Terrestrial";
"Icerya purchasi";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Margarodidae";"Terrestrial";
"Ips typographus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
"Lasius neglectus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Linepithema humile";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Lymantria dispar";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Lymantriidae";"Terrestrial";
"Maconellicoccus hirsutus";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Pseudococcidae";"Terrestrial";
"Monomorium destructor";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium floricola";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium pharaonis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Myrmica rubra";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Nylanderia (=Paratrechina) pubens";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Ochlerotatus japonicus japonicus";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Oopterus soledadinus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Carabidae";"Terrestrial";
"Oracella acuta";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Pseudococcidae";"Terrestrial";
"Orthezia insignis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Ortheziidae";"Terrestrial";
"Orthotomicus erosus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
"Oryctes rhinoceros";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Terrestrial";
"Pachycondyla chinensis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Paratachardina pseudolobata";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Kerriidae";"Terrestrial";
"Paratrechina longicornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Pheidole megacephala";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Philornis downsi";"Animalia";"Arthropoda";"Insecta";"Diptera";"Muscidae";"Terrestrial";
"Polistes chinensis antennalis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Vespidae";"Terrestrial";
"Quadrastichus erythrinae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Eulophidae";"Terrestrial";
"Radumeris tasmaniensis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Scoliidae";"Terrestrial";
"Scyphophorus acupunctatus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Sirex noctilio";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Siricidae";"Terrestrial";
"Solenopsis geminata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Solenopsis invicta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Solenopsis papuana";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Solenopsis richteri";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Tapinoma melanocephalum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Technomyrmex albipes";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Tetropium fuscum";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Cerambycidae";"Terrestrial";
"Tomicus piniperda";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
"Toumeyella parvicornis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Coccidae";"Terrestrial";
"Trechisibus antarcticus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Carabidae";"Terrestrial";
"Trogoderma granarium";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Dermestidae";"Terrestrial";
"Vespa velutina nigrithorax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Vespidae";"Terrestrial";
"Vespula germanica";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Vespidae";"Terrestrial";
"Vespula pensylvanica";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Vespidae";"Terrestrial";
"Vespula vulgaris";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Vespidae";"Terrestrial";
"Wasmannia auropunctata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Xyleborus glabratus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Xylosandrus compactus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
"Xylosandrus mutilatus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
